Price,Close,High,Low,Open,Volume
1/15/2020,75.27807617,76.28391248,74.84527473,75.40139009,121923600
1/16/2020,76.22103119,76.33225867,75.45940262,75.82208359,108829200
1/17/2020,77.06489563,77.06730849,76.16302603,76.47009335,137816400
1/21/2020,76.54263306,77.13500771,76.40481248,76.69254005,110843200
1/22/2020,76.8158493,77.36953706,76.72154869,77.02861599,101832400
1/23/2020,77.18579865,77.26558524,76.32019557,76.86905772,104472000
1/24/2020,76.96331787,78.17708751,76.77230383,77.43238584,146537600
1/27/2020,74.70022583,75.38206074,73.71614927,74.96860632,161940000
1/28/2020,76.81342316,76.98509011,75.48359274,75.58272644,162234000
1/29/2020,78.42131042,79.26998641,77.70562191,78.44791087,216229200
1/30/2020,78.30766296,78.36085647,77.06971299,77.50251439,126743200
1/31/2020,74.83561707,78.01995284,74.54063616,77.59682491,199588400
2/3/2020,74.63008881,75.79791853,73.07297759,73.57589206,173788400
2/4/2020,77.09389496,77.28490902,75.83176475,76.23796571,136616400
2/5/2020,77.7225647,78.52288042,77.11809618,78.22305902,118826800
2/6/2020,78.63168335,78.63410358,77.43484007,77.99336841,105425600
2/7/2020,77.56285858,78.37961468,77.07086562,78.12998293,117684000
2/10/2020,77.93122864,77.93122864,76.06505213,76.14502806,109348800
2/11/2020,77.46107483,78.50080665,77.24295119,78.42810124,94323200
2/12/2020,79.30059052,79.30543508,77.91185813,77.91185813,113730400
2/13/2020,78.73586273,79.06305175,78.36747646,78.57105893,94747600
2/14/2020,78.75528717,79.00491895,78.24632709,78.70438599,80113600
2/18/2020,77.31322479,77.4949957,76.24925555,76.43102645,152531200
2/19/2020,78.43291473,78.66316079,77.55556855,77.55556855,93984000
2/20/2020,77.6282959,78.68256869,77.12176184,78.19300168,100566000
2/21/2020,75.87116241,77.66464102,75.25314438,77.22111593,129554000
2/24/2020,72.26726532,73.72143261,70.09813688,72.04429714,222195200
2/25/2020,69.81941223,73.32153458,69.34681232,72.93860713,230673600
2/26/2020,70.92700195,72.19455366,69.43648209,69.44375263,198054800
2/27/2020,66.29064178,69.31531264,66.15492009,68.12774407,320605600
2/28/2020,66.25185394,67.47578244,62.13413953,62.34984455,426510000
3/2/2020,72.41995239,73.05736356,67.30855537,68.4137219,341397200
3/3/2020,70.11994171,73.67780223,69.26682558,73.59782629,319475600
3/4/2020,73.37242889,73.53238818,71.04334126,71.84555626,219178400
3/5/2020,70.99243927,72.59928766,70.62647153,71.62257241,187572800
3/6/2020,70.04966736,70.48349604,68.15925269,68.34586817,226176800
3/9/2020,64.50930023,67.39824233,63.74101178,63.92278272,286744800
3/10/2020,69.15535736,69.42195621,65.28484795,67.16799957,285290000
